FinalBatches,FinalBatchesIndexes,FinalPermutationIndex,TestLoss,TestCorrect,TestTotal,TestAcc
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446]]","(0, 1, 3, 5, 2, 4)",10,2.4179900884628296,1551,2048,0.75732421875
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343]]","(0, 1, 3, 5, 4, 2)",11,2.4163573384284973,1464,2048,0.71484375
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180]]","(0, 1, 4, 2, 3, 5)",12,2.439657747745514,1490,2048,0.7275390625
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711]]","(0, 1, 4, 2, 5, 3)",13,2.442396819591522,1550,2048,0.7568359375
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180]]","(0, 1, 4, 3, 2, 5)",14,2.432818830013275,1433,2048,0.69970703125
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343]]","(0, 1, 4, 3, 5, 2)",15,2.4296302795410156,1411,2048,0.68896484375
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711]]","(0, 1, 4, 5, 2, 3)",16,2.438159465789795,1535,2048,0.74951171875
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343]]","(0, 1, 4, 5, 3, 2)",17,2.432666778564453,1437,2048,0.70166015625
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446]]","(0, 1, 5, 2, 3, 4)",18,2.43314665555954,1635,2048,0.79833984375
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711]]","(0, 1, 5, 2, 4, 3)",19,2.4377361536026,1633,2048,0.79736328125
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446]]","(0, 1, 5, 3, 2, 4)",20,2.4252228140830994,1562,2048,0.7626953125
"[[32892, 1816, 27148, 52392, 44158, 11911, 33024, 39568], [15989, 27283, 20194, 26260, 41465, 57575, 48895, 41019], [30261, 8319, 46896, 57186, 50804, 3380, 50311, 12180], [23823, 10568, 58247, 22815, 29957, 10265, 44131, 30711], [16080, 46010, 59768, 12399, 57101, 54368, 23095, 19446], [7978, 14282, 40909, 53509, 43081, 47294, 48253, 27343]]","(0, 1, 5, 3, 4, 2)",21,2.4232587218284607,1470,2048,0.7177734375
